season,player_name,receiving_yards,fantasy_pts,position,player_name_adp,pos_adp,team,adp,adp_formatted,times_drafted
2024,D.Goedert,711.0,149.4000005722046,TE,,,,,,
2024,D.Henry,193.0,383.4000025987625,RB,,,,,,
2024,D.Holker,21.0,5.100000023841858,TE,,,,,,
2024,D.Hopkins,639.0,158.90000127255917,WR,,,,,,
2024,D.Johnson,483.0,127.20000074058771,RB,,,,,,
2024,D.Jones,0.0,139.29999820142984,QB,,,,,,
2024,D.Kincaid,519.0,113.90000140666962,TE,,,,,,
2024,D.Knox,356.0,67.60000017285347,TE,,,,,,
2024,D.Laube,0.0,0.0,RB,,,,,,
2024,D.Lenoir,0.0,0.0,CB,,,,,,
2024,D.Lock,0.0,82.13999952375889,QB,,,,,,
2024,D.London,1271.0,280.80000299215317,WR,,,,,,
2024,D.Martin-Robinson,6.0,1.600000023841858,TE,,,,,,
2024,D.Maye,0.0,185.13999772071838,QB,,,,,,
2024,D.Metcalf,992.0,195.20000338554382,WR,,,,,,
2024,D.Mills,0.0,9.57999974489212,QB,,,,,,
2024,D.Montgomery,341.0,227.32000134140253,RB,,,,,,
2024,D.Mooney,992.0,193.20000052452087,WR,,,,,,
2024,D.Moore,1317.0,323.2000027447939,WR,,,,,,
2024,D.Njoku,505.0,144.50000101327896,TE,,,,,,
2024,D.Ogunbowale,198.0,58.40000086277723,RB,,,,,,
2024,D.Pettis,120.0,30.00000035762787,WR,,,,,,
2024,D.Pettus,0.0,0.20000000298023224,FS,,,,,,
2024,D.Pierce,2.0,46.00000040233135,RB,,,,,,
2024,D.Prescott,0.0,118.51999803632498,QB,,,,,,
2024,D.Ridder,0.0,25.91999961435795,QB,,,,,,
2024,D.Robinson,602.0,137.20000129938126,WR,,,,,,
2024,D.Sample,109.0,36.50000008940697,TE,,,,,,
2024,D.Samuel,670.0,155.60000099986792,WR,,,,,,
2024,D.Schultz,618.0,132.8000010251999,TE,,,,,,
2024,D.Singletary,119.0,100.60000067949295,RB,,,,,,
2024,D.Skipper,9.0,7.900000035762787,T,,,,,,
2024,D.Slayton,573.0,110.00000071525574,WR,,,,,,
2024,D.Smith,1023.0,240.40000130981207,WR,,,,,,
2024,D.Smythe,53.0,14.300000101327896,TE,,,,,,
2024,D.Swift,386.0,212.5000024586916,RB,,,,,,
2024,D.Thompkins,20.0,6.700000092387199,WR,,,,,,
2024,D.Thompson-Robinson,0.0,17.799999594688416,QB,,,,,,
2024,D.Turner,158.0,47.10000033676624,WR,,,,,,
2024,D.Vaughn,18.0,11.800000190734863,RB,,,,,,
2024,D.Vele,475.0,106.50000047683716,WR,,,,,,
2024,D.Walker,21.0,9.100000143051147,WR,,,,,,
2024,D.Washington,209.0,46.900000751018524,TE,,,,,,
2024,D.Watson,0.0,80.71999943256378,QB,,,,,,
2024,D.Wicks,454.0,116.40000110864639,WR,,,,,,
2024,D.Young,0.0,0.0,WR,,,,,,
2024,E.All,158.0,35.80000019073486,TE,,,,,,
2024,E.Demercado,104.0,54.700000524520874,RB,,,,,,
2024,E.Elliott,69.0,59.500000454485416,RB,,,,,,
2024,E.Engram,365.0,89.49999976158142,TE,,,,,,
2024,E.Ezukanma,0.0,0.0,WR,,,,,,
2024,E.Gray,82.0,21.30000016093254,RB,,,,,,
2024,E.Higgins,172.0,49.20000033825636,TE,,,,,,
2024,E.Jenkins,7.0,7.699999988079071,TE,,,,,,
2024,E.Moore,538.0,120.90000090748072,WR,,,,,,
2024,E.Saubert,97.0,26.7000000923872,TE,,,,,,
2024,E.Tomlinson,9.0,2.8999999910593033,TE,,,,,,
2024,E.Wilson,71.0,99.90000062435865,RB,,,,,,
2024,F.Franks,12.0,2.200000047683716,TE,,,,,,
2024,F.Moreau,413.0,103.30000086128712,TE,,,,,,
2024,G.Calcaterra,302.0,61.200000792741776,TE,,,,,,
2024,G.Davis,239.0,55.90000055730343,WR,,,,,,
2024,G.Dortch,342.0,92.30000081658363,WR,,,,,,
2024,G.DuBose,11.0,3.1000000685453415,WR,,,,,,
2024,G.Dulcich,28.0,7.800000071525574,TE,,,,,,
2024,G.Edwards,6.0,66.30000071972609,RB,,,,,,
2024,G.Everett,36.0,11.600000083446503,TE,,,,,,
2024,G.Holani,-1.0,1.8999999985098839,RB,,,,,,
2024,G.Kittle,1106.0,236.60000079870224,TE,,,,,,
2024,G.Minshew,0.0,102.31999810785055,QB,,,,,,
2024,G.Pickens,987.0,186.10000243782997,WR,,,,,,
2024,G.Smith,0.0,265.9999953061342,QB,,,,,,
2024,G.Swaim,7.0,1.699999988079071,TE,,,,,,
2024,G.Wilson,1104.0,253.90000069141388,WR,,,,,,
2024,H.Bryant,86.0,17.600000262260437,TE,,,,,,
2024,H.Haskins,49.0,35.300000093877316,RB,,,,,,
2024,H.Henry,674.0,145.40000075101852,TE,,,,,,
2024,H.Hooker,0.0,2.680000014603138,QB,,,,,,
2024,H.Hurst,73.0,15.300000011920929,TE,,,,,,
2024,H.Long,73.0,15.300000220537186,TE,,,,,,
2024,H.Luepke,111.0,26.90000007301569,FB,,,,,,
2024,I.Charles,0.0,0.0,WR,,,,,,
2024,I.Davis,75.0,45.900000140070915,RB,,,,,,
2024,I.Guerendo,152.0,96.20000125467777,RB,,,,,,
2024,I.Hodgins,12.0,3.199999988079071,WR,,,,,,
2024,I.Likely,603.0,151.30000159144402,TE,,,,,,
2024,I.Pacheco,96.0,65.30000063031912,RB,,,,,,
2024,I.Smith,2.0,1.2000000029802322,TE,,,,,,
2024,I.Smith-Marsette,0.0,0.0,WR,,,,,,
2024,I.Thomas,7.0,3.7000000178813934,TE,,,,,,
2024,I.Williams,6.0,2.600000023841858,WR,,,,,,
2024,J.Addison,904.0,218.4000020325184,WR,,,,,,
2024,J.Akins,390.0,91.0000005364418,TE,,,,,,
2024,J.Allen,0.0,438.27999567240477,QB,,,,,,
2024,J.Bailey,0.0,0.0,P,,,,,,
2024,J.Baker,12.0,2.200000047683716,WR,,,,,,
2024,J.Bates,115.0,22.500000178813934,TE,,,,,,
2024,J.Bell,20.0,3.999999977648258,TE,,,,,,
2024,J.Blackwell,0.0,0.0,CB,,,,,,
2024,J.Bobo,107.0,29.700000137090683,WR,,,,,,
2024,J.Brissett,0.0,45.23999880254269,QB,,,,,,
2024,J.Brooks,200.0,43.20000031590462,WR,,,,,,
2024,J.Browning,0.0,-0.20000000298023224,QB,,,,,,
2024,J.Burrow,0.0,382.8199950605631,QB,,,,,,
2024,J.Burton,107.0,14.70000022649765,WR,,,,,,
2024,J.Chase,1708.0,403.00000351667404,WR,,,,,,
2024,J.Chestnut,11.0,13.300000220537186,RB,,,,,,
2024,J.Coker,478.0,92.56000071763992,WR,,,,,,
2024,J.Conner,414.0,251.80000133812428,RB,,,,,,
2024,J.Cook,322.0,324.3000015616417,RB,,,,,,
2024,J.Cowing,80.0,12.699999988079071,WR,,,,,,
2024,J.Crowder,101.0,34.10000005364418,WR,,,,,,
2024,J.Daniels,0.0,420.1999982446432,QB,,,,,,
2024,J.Darden,6.0,1.600000023841858,WR,,,,,,
2024,J.Deguara,14.0,4.400000020861626,TE,,,,,,
2024,J.Dobbins,153.0,194.40000155568123,RB,,,,,,
2024,J.Dobbs,0.0,32.839999973773956,QB,,,,,,
2024,J.Dotson,269.0,56.20000120997429,WR,,,,,,
2024,J.Downs,803.0,182.20000191777945,WR,,,,,,
2024,J.Ferguson,494.0,108.40000021457672,TE,,,,,,
2024,J.Fields,0.0,121.13999950885773,QB,,,,,,
2024,J.FitzPatrick,2.0,1.2000000029802322,TE,,,,,,
2024,J.Flacco,0.0,107.03999868780375,QB,,,,,,
2024,J.Ford,225.0,134.00000128149986,RB,,,,,,
2024,J.Fortson,5.0,1.5,TE,,,,,,
2024,J.Fox,0.0,0.6800000071525574,P,,,,,,
2024,J.Garoppolo,0.0,19.859999656677246,QB,,,,,,
2024,J.Gibbs,567.0,392.4000031352043,RB,,,,,,
2024,J.Goff,7.0,333.679995469749,QB,,,,,,
2024,J.Haener,0.0,13.240000016987324,QB,,,,,,
2024,J.Hasty,59.0,28.800000175833702,RB,,,,,,
2024,J.Hekker,0.0,0.0,P,,,,,,
2024,J.Herbert,0.0,289.0799973681569,QB,,,,,,
2024,J.Hicks,0.0,0.10000000149011612,SS,,,,,,
2024,J.Hill,503.0,169.30000115931034,RB,,,,,,
2024,J.Hurts,0.0,421.5599973797798,QB,,,,,,
2024,J.Hyatt,62.0,14.200000166893005,WR,,,,,,
